Crop,Min_Temp_C,Opt_Temp_C,Max_Temp_C,Min_Rainfall_mm,Opt_Rainfall_mm,Max_Rainfall_mm,Min_Humidity_pct,Max_Humidity_pct,Wind_Tolerance,Soil_pH_Min,Soil_pH_Max,Sand_pct_Min,Sand_pct_Max,Clay_pct_Min,Clay_pct_Max,Silt_pct_Min,Silt_pct_Max,Organic_Carbon_Min_pct,Organic_Carbon_Max_pct,Available_N_kg_ha,Available_P_kg_ha,Available_K_kg_ha,Texture_Class,Drainage_Requirement
Bajra (Pearl Millet),15.0,28.0,43.0,250.0,450.0,750.0,30.0,75.0,high,5.0,8.5,50,70,10,20,10,30,0.4,1.2,280-560 kg/ha,11-22 kg/ha (low P soils),low,,
Barley,2.0,18.0,33.0,250.0,400.0,800.0,30.0,75.0,moderate,5.5,8.0,30,50,20,35,20,40,0.5,1.5,60-120 kg/ha,30-60 kg/ha,30-60 kg/ha,,
Black Gram (Urad),15.0,27.0,38.0,400.0,800.0,1200.0,45.0,85.0,low,5.5,7.8,20,40,20,40,20,40,0.5,1.5,20-40 kg/ha (low N req),20-40 kg/ha,20-40 kg/ha,,
Chickpea (Chana),8.0,22.0,32.0,300.0,450.0,800.0,30.0,75.0,low,5.5,8.2,30,50,20,35,20,40,0.5,1.5,20-40 kg/ha (low N req),40-60 kg/ha,20-40 kg/ha,,
Coconut,18.0,29.0,38.0,1000.0,2000.0,3000.0,60.0,95.0,high,5.0,8.0,50,70,10,25,10,30,1.0,2.5,100-200 kg/ha,50-100 kg/ha,100-200 kg/ha,,
Coffee,12.0,22.0,32.0,1000.0,1800.0,2500.0,50.0,95.0,low,4.5,6.8,30,50,20,40,20,40,1.5,3.0,100-150 kg/ha,40-60 kg/ha,80-120 kg/ha,,
Corn (Maize),10.0,26.0,38.0,400.0,700.0,1500.0,40.0,85.0,moderate,5.5,7.8,30,50,20,35,20,40,0.5,1.5,120-150 kg/ha,60-80 kg/ha,40-60 kg/ha,,
Cotton,15.0,26.0,40.0,400.0,800.0,1500.0,35.0,85.0,moderate,5.2,8.2,30,50,20,40,20,40,0.5,1.5,100-120 kg/ha,50-60 kg/ha,50-60 kg/ha,,
Groundnut (Peanut),15.0,26.0,38.0,400.0,700.0,1200.0,40.0,85.0,low,5.3,7.8,60,80,5,15,10,25,0.5,1.5,20-40 kg/ha (low N req),40-60 kg/ha,40-60 kg/ha,,
Jowar (Sorghum),15.0,27.0,40.0,300.0,600.0,1000.0,30.0,80.0,high,5.0,8.5,30,50,20,35,20,40,0.5,1.5,80-100 kg/ha,40-50 kg/ha,40-50 kg/ha,,
Jute,18.0,28.0,38.0,1200.0,1800.0,2500.0,60.0,95.0,low,4.8,7.8,30,50,20,40,20,40,1.0,2.0,80-100 kg/ha,30-40 kg/ha,30-40 kg/ha,,
Lentil (Masoor),4.0,20.0,32.0,250.0,400.0,800.0,30.0,75.0,low,5.5,8.2,30,50,20,35,20,40,0.5,1.5,20-30 kg/ha (low N req),40-60 kg/ha,20-30 kg/ha,,
Millet,15.0,27.0,40.0,250.0,500.0,900.0,30.0,80.0,high,5.0,8.5,40,60,15,30,15,35,0.4,1.2,40-60 kg/ha,20-30 kg/ha,20-30 kg/ha,,
Mustard,4.0,18.0,32.0,250.0,400.0,800.0,30.0,75.0,low,5.5,7.8,30,50,20,35,20,40,0.5,1.5,60-80 kg/ha,40-60 kg/ha,30-40 kg/ha,,
Onion,8.0,20.0,32.0,400.0,600.0,1000.0,40.0,80.0,low,5.5,7.5,30,50,15,30,20,40,0.8,2.0,100-150 kg/ha,50-75 kg/ha,100-150 kg/ha,,
Pigeon Pea (Arhar/Tur),15.0,28.0,38.0,400.0,800.0,1200.0,40.0,80.0,moderate,4.8,7.8,30,50,20,40,20,40,0.5,1.5,20-30 kg/ha (low N req),40-60 kg/ha,20-30 kg/ha,,
Potato,5.0,17.0,28.0,400.0,600.0,1000.0,45.0,90.0,low,4.8,6.8,40,60,15,30,20,40,1.0,2.5,120-150 kg/ha,60-80 kg/ha,100-120 kg/ha,,
Ragi (Finger Millet),18.0,27.0,38.0,400.0,700.0,1200.0,40.0,85.0,high,4.5,8.5,40,60,15,30,15,35,0.5,1.5,50-75 kg/ha,30-40 kg/ha,25-35 kg/ha,,
Rice (Paddy),15.0,27.0,38.0,800.0,1400.0,2500.0,55.0,95.0,low,4.8,7.8,20,40,30,50,20,40,1.0,2.5,80-120 kg/ha,40-60 kg/ha,40-60 kg/ha,,
Sesame,15.0,28.0,40.0,300.0,550.0,900.0,35.0,75.0,low,5.0,8.2,40,60,15,30,15,35,0.5,1.5,40-60 kg/ha,30-40 kg/ha,30-40 kg/ha,,
Soybean,12.0,24.0,38.0,400.0,700.0,1200.0,40.0,85.0,moderate,5.5,7.8,30,50,20,35,20,40,0.5,1.5,20-30 kg/ha (low N req),60-80 kg/ha,40-60 kg/ha,,
Sugarcane,15.0,30.0,40.0,500.0,1200.0,2500.0,45.0,95.0,moderate,5.2,8.5,30,50,20,40,20,40,1.0,2.5,150-200 kg/ha,60-80 kg/ha,100-150 kg/ha,,
Sunflower,8.0,22.0,38.0,400.0,600.0,1000.0,35.0,80.0,moderate,5.5,7.8,30,50,20,35,20,40,0.5,1.5,60-80 kg/ha,40-60 kg/ha,40-60 kg/ha,,
Tea,10.0,22.0,32.0,1000.0,1800.0,3000.0,60.0,95.0,low,4.0,6.2,30,50,20,40,20,40,2.0,4.0,100-150 kg/ha,40-60 kg/ha,60-100 kg/ha,,
Tomato,10.0,22.0,35.0,400.0,700.0,1200.0,40.0,85.0,low,5.5,7.5,30,50,15,30,20,40,1.0,2.5,100-150 kg/ha,50-75 kg/ha,100-150 kg/ha,,
Wheat,2.0,22.0,35.0,400.0,750.0,1200.0,35.0,80.0,low,5.5,8.0,30,50,20,35,20,40,0.5,1.5,100-120 kg/ha,40-60 kg/ha,40-60 kg/ha,,
Kidney Beans (Rajma),10.0,20.0,30.0,50.0,400.0,1000.0,40.0,80.0,moderate,5.5,6.0,30,50,20,35,20,40,0.5,1.5,22 kg/ha,67 kg/ha,20 kg/ha,loam,well-drained
Moth Beans,20.0,28.0,38.0,20.0,200.0,800.0,30.0,75.0,moderate,3.5,9.9,30,50,20,35,20,40,0.5,1.5,22 kg/ha,48 kg/ha,20 kg/ha,loam,well-drained
Mung Bean,20.0,28.0,38.0,30.0,300.0,1000.0,40.0,85.0,moderate,6.2,7.8,30,50,20,35,20,40,0.5,1.5,22 kg/ha,47 kg/ha,20 kg/ha,loam,well-drained
Pomegranate,10.0,25.0,40.0,40.0,400.0,1200.0,30.0,80.0,moderate,5.0,8.0,30,50,20,35,20,40,0.5,1.5,18 kg/ha,20 kg/ha,40 kg/ha,loam,well-drained
Banana,15.0,27.0,40.0,80.0,800.0,2500.0,45.0,90.0,moderate,5.0,8.0,30,50,20,35,20,40,0.5,1.5,100 kg/ha,81 kg/ha,50 kg/ha,loam,well-drained
Mango,12.0,28.0,42.0,50.0,500.0,2500.0,35.0,90.0,moderate,4.5,7.5,30,50,20,35,20,40,0.5,1.5,21 kg/ha,28 kg/ha,30 kg/ha,loam,well-drained
Grapes,8.0,24.0,40.0,40.0,300.0,1200.0,35.0,85.0,moderate,5.0,7.5,30,50,20,35,20,40,0.5,1.5,24 kg/ha,133 kg/ha,201 kg/ha,loam,well-drained
Watermelon,18.0,26.0,40.0,30.0,300.0,1200.0,45.0,85.0,moderate,5.5,7.5,30,50,20,35,20,40,0.5,1.5,99 kg/ha,18 kg/ha,50 kg/ha,loam,well-drained
Muskmelon,18.0,28.0,40.0,20.0,250.0,1000.0,45.0,85.0,moderate,5.5,7.5,30,50,20,35,20,40,0.5,1.5,100 kg/ha,18 kg/ha,50 kg/ha,loam,well-drained
Apple,2.0,15.0,24.5,50.0,600.0,1800.0,35.0,85.0,moderate,5.0,7.0,30,50,20,35,20,40,0.5,1.5,24 kg/ha,136 kg/ha,200 kg/ha,loam,well-drained
Orange,8.0,23.0,38.0,50.0,500.0,2000.0,35.0,90.0,moderate,5.5,8.2,30,50,20,35,20,40,0.5,1.5,19 kg/ha,16 kg/ha,10 kg/ha,loam,well-drained
Papaya,15.0,28.0,40.0,40.0,400.0,2500.0,45.0,90.0,moderate,6.0,7.8,30,50,20,35,20,40,0.5,1.5,49 kg/ha,60 kg/ha,50 kg/ha,loam,well-drained
